District code,State name,District name,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Tapwater_Households
1,JAMMU AND KASHMIR,Kupwara,15828,83071,762,5256,2988,1808,26828,56495,8463,104172,66361,54335,50339
2,JAMMU AND KASHMIR,Badgam,15118,90190,1999,5892,5091,5848,54170,72197,3733,88806,83385,83615,73303
3,JAMMU AND KASHMIR,Leh(Ladakh),13645,17250,574,2150,4271,1289,13597,13836,371,20134,10304,18780,6254
4,JAMMU AND KASHMIR,Kargil,3285,15824,235,1005,1847,652,8008,10562,575,17751,11887,17649,10769
5,JAMMU AND KASHMIR,Punch,13160,62900,346,3342,1731,2407,16022,36358,2047,78572,19789,16586,43697
6,JAMMU AND KASHMIR,Rajouri,23946,96012,673,6219,3128,7261,34209,65569,3254,88623,22470,17778,39628
7,JAMMU AND KASHMIR,Kathua,32772,109422,1443,6112,4687,23014,66944,88964,4036,94279,47372,26033,61227
8,JAMMU AND KASHMIR,Baramula,33022,138180,3698,10645,10075,8145,75137,107269,7656,138439,121099,113281,113894
9,JAMMU AND KASHMIR,Bandipore,8868,45469,985,3155,2237,2284,25399,34528,3922,52461,43923,42035,33973
10,JAMMU AND KASHMIR,Srinagar,138119,165403,16413,33831,34586,39804,152945,157875,3715,164293,164263,164002,164426
11,JAMMU AND KASHMIR,Ganderbal,10410,38487,878,2779,2313,2709,20350,27786,3794,39831,33167,31492,35518
12,JAMMU AND KASHMIR,Pulwama,16828,73629,1537,5293,6164,4551,45967,65162,3568,71921,61749,53836,56749
13,JAMMU AND KASHMIR,Shupiyan,3727,35282,884,3440,3634,4656,19896,33786,2392,39555,33535,25628,30968
14,JAMMU AND KASHMIR,Anantnag,28984,114899,2712,8612,7846,5541,67166,102683,6650,137410,98110,80917,103058
15,JAMMU AND KASHMIR,Kulgam,4301,47913,838,3542,2421,3318,25825,49605,3194,66620,40973,31048,48856
16,JAMMU AND KASHMIR,Doda,7963,61831,596,3077,1804,1550,19244,47031,1308,76597,26716,23060,66002
17,JAMMU AND KASHMIR,Ramban,3982,34243,417,2644,958,612,8110,27216,1143,51469,13135,10892,33094
18,JAMMU AND KASHMIR,Kishtwar,4118,24067,274,1651,850,1533,9281,17702,1453,42978,12609,10761,34280
19,JAMMU AND KASHMIR,Udhampur,20008,73999,1214,5744,3800,8953,37323,64858,1832,67792,21542,18063,47796
20,JAMMU AND KASHMIR,Reasi,6552,31588,602,2849,1878,3551,13645,28783,793,45425,11155,8334,33866
21,JAMMU AND KASHMIR,Jammu,197168,294739,19905,46657,44063,113156,240478,241206,12552,246479,231365,162522,168693
22,JAMMU AND KASHMIR,Samba,34063,61159,992,4465,4093,17664,47611,50736,1863,47597,43562,20650,32061
23,HIMACHAL PRADESH,Chamba,21458,96082,1615,5117,5074,8880,62233,73995,2207,92819,46292,52553,96451
24,HIMACHAL PRADESH,Kangra,148361,330081,8053,22753,22727,69192,272579,274180,4856,299890,229975,220258,301016
25,HIMACHAL PRADESH,Lahul AND Spiti,2046,5618,61,252,536,564,4938,4995,53,6448,4946,5232,6123
26,HIMACHAL PRADESH,Kullu,40064,91322,2623,7010,8479,6979,66910,79454,1117,90542,66129,55831,87848
27,HIMACHAL PRADESH,Mandi,59324,214491,5333,16401,15958,26366,157314,172205,3472,196933,175038,181985,209375
28,HIMACHAL PRADESH,Hamirpur,34978,104120,2521,7525,6665,16955,86324,90286,1011,94440,86909,93858,94807
29,HIMACHAL PRADESH,Una,43809,105929,2412,8238,8059,36913,88894,90729,1874,92378,87268,66103,93873
30,HIMACHAL PRADESH,Bilaspur,17262,79146,1574,6281,6573,11397,61392,66935,1046,58346,61113,56814,67847
31,HIMACHAL PRADESH,Solan,53722,119866,5250,14478,15117,25275,94692,108699,2195,109878,105861,90587,103964
32,HIMACHAL PRADESH,Sirmaur,28904,91509,2220,8593,7459,17523,58902,75406,2511,76236,74088,60246,75607
33,HIMACHAL PRADESH,Shimla,108888,172754,9177,24127,23107,8186,131450,161675,3690,160066,153356,123535,166551
34,HIMACHAL PRADESH,Kinnaur,10740,17865,354,2563,2775,857,12925,16468,194,16851,13902,13521,17996
35,PUNJAB,Gurdaspur,244468,411216,14428,38445,32484,194705,365644,336075,34047,405686,360051,258924,124910
36,PUNJAB,Kapurthala,110555,161206,9732,23145,23561,90508,144945,145116,8913,159033,149071,137713,87546
37,PUNJAB,Jalandhar,299449,446200,39082,79134,72374,238203,401189,395069,24899,436790,422876,392909,297183
38,PUNJAB,Hoshiarpur,201675,319930,13747,34328,33720,166862,285904,278411,20255,310810,285730,210621,177302
39,PUNJAB,Shahid Bhagat Singh Nagar,64934,125068,5264,13936,14456,64143,109258,110382,7238,123000,115870,90711,62350
40,PUNJAB,Fatehgarh Sahib,64037,113683,5138,14294,18239,63700,98080,98401,6665,109623,104467,99858,44186
41,PUNJAB,Ludhiana,488757,703624,58589,123400,120172,360662,604959,606726,41268,689982,669232,667902,438455
42,PUNJAB,Moga,89445,183396,7897,21662,26253,85167,152610,155841,13868,177546,171503,167596,91608
43,PUNJAB,Firozpur,141899,349662,10042,31070,37105,148610,277615,290671,36458,354657,303760,274015,161386
44,PUNJAB,Muktsar,76441,166585,4571,14077,23185,62205,130482,135144,17701,165332,152188,133635,94584
45,PUNJAB,Faridkot,62103,113549,4348,12276,15528,51638,93053,95758,9288,112702,107033,99988,48872
46,PUNJAB,Bathinda,118427,255650,11284,32253,36173,106010,204051,215302,17698,256617,241449,232629,151659
47,PUNJAB,Mansa,39414,140099,2673,10085,12805,48117,102314,111889,10246,123826,128019,99571,71808
48,PUNJAB,Patiala,209192,352929,24274,55105,57008,193945,308440,303548,21277,342661,327085,309524,207661
49,PUNJAB,Amritsar,279993,461231,29961,63864,56185,225063,413460,379572,31025,458184,430958,379230,218410
50,PUNJAB,Tarn Taran,73958,186599,4300,13102,15885,86013,162147,155842,15981,188469,160573,136239,27408
51,PUNJAB,Rupnagar,67749,129123,6600,17542,17248,72313,111937,114425,7652,124576,114310,88385,80769
52,PUNJAB,Sahibzada Ajit Singh Nagar,131701,191578,25944,50857,49154,112529,170839,172826,10343,188089,180924,155989,157375
53,PUNJAB,Sangrur,135280,305557,10736,30955,35264,146931,244837,252535,17744,295361,282915,259912,150522
54,PUNJAB,Barnala,50276,108908,3501,10566,12912,49472,86481,89207,7043,105996,102344,93781,64117
55,CHANDIGARH,Chandigarh,168344,231204,44283,78113,60494,109701,193932,209783,8256,226263,210801,206017,227354
56,UTTARAKHAND,Uttarkashi,21374,52621,602,4104,1637,4046,29400,43020,1907,60008,36136,29106,53576
57,UTTARAKHAND,Chamoli,27853,71524,899,5582,2516,2311,46579,59079,1960,80492,46547,45572,73654
58,UTTARAKHAND,Rudraprayag,19859,49182,418,3082,1111,1529,29622,40057,968,49793,29977,28272,47111
59,UTTARAKHAND,Tehri Garhwal,50929,117239,1366,7831,4324,9697,68294,98205,3340,124900,78515,74477,103160
60,UTTARAKHAND,Dehradun,233705,310726,25862,71199,48070,152009,260368,278318,9840,298845,283844,278971,273226
61,UTTARAKHAND,Garhwal,70551,143963,2633,12670,4874,15468,99662,113779,2803,152778,104175,89437,138948
62,UTTARAKHAND,Pithoragarh,45365,95421,1344,7932,3008,6136,58954,67332,2317,102955,58037,61543,88949
63,UTTARAKHAND,Bageshwar,13352,47083,435,3595,1149,2005,25873,35364,1651,51297,28198,31604,45834
64,UTTARAKHAND,Almora,40199,109876,1830,9858,3396,6719,70237,98610,2306,131268,77118,76958,112049
65,UTTARAKHAND,Champawat,18785,37725,548,3159,1387,5151,22588,31466,3117,46034,24002,24284,34183
66,UTTARAKHAND,Nainital,99021,169001,7265,26270,13800,49145,125994,145056,7986,164700,145021,148745,149782
67,UTTARAKHAND,Udham Singh Nagar,116576,254802,7883,28053,16841,88369,192243,228966,17354,229403,207469,207848,110297
68,UTTARAKHAND,Hardwar,125717,279012,11947,35023,21893,114469,207894,250344,13248,264573,265523,216744,131667
69,HARYANA,Panchkula,69687,103455,18615,32174,29497,49972,88378,92486,5245,103319,94560,77967,99720
70,HARYANA,Ambala,121622,199681,12899,32767,26122,92424,172034,170149,8024,193627,186183,142922,173860
71,HARYANA,Yamunanagar,109080,217503,8079,25129,20791,87959,168506,175426,12340,205250,193584,148667,176944
72,HARYANA,Kurukshetra,90150,171908,7356,21951,20261,73765,143316,145855,7231,158156,152922,136321,152471
73,HARYANA,Kaithal,62668,187349,3724,15301,12792,59238,140195,153352,9252,173902,153556,126896,116339
74,HARYANA,Karnal,143133,267223,11163,29253,26238,108101,215813,215865,11884,252406,238149,215989,229500
75,HARYANA,Panipat,121846,209965,10024,26719,17466,74923,162321,172677,7820,201026,191098,176766,145881
76,HARYANA,Sonipat,126009,253054,9029,30697,22367,84519,192317,207285,11516,248760,224790,183719,164405
77,HARYANA,Jind,78386,222462,5263,23750,15836,61694,160742,193577,10853,221117,186317,146428,129177
78,HARYANA,Fatehabad,51693,153301,3210,13142,14030,52633,107042,136196,9757,159106,152219,134586,128708
79,HARYANA,Sirsa,70538,215527,6287,22706,24468,75692,150315,190983,13027,215779,216307,215371,204475
80,HARYANA,Hisar,110495,285004,10132,33400,24642,90721,202588,259276,15588,305078,273915,231144,218535
81,HARYANA,Bhiwani,88938,266244,5292,25236,16793,66069,176336,242718,15893,289221,241914,175689,203509
82,HARYANA,Rohtak,94633,193120,8482,27225,16545,63575,150160,160621,7826,190149,174390,147990,154010
83,HARYANA,Jhajjar,70149,168558,5034,19241,14298,52868,128007,145032,8744,170101,153834,123545,133448
84,HARYANA,Mahendragarh,45359,135455,2624,13908,8538,45775,88012,133653,5132,152743,113329,74605,108389
85,HARYANA,Rewari,62667,152651,5121,18092,12161,58897,108753,137152,5173,159721,134804,100436,122608
86,HARYANA,Gurgaon,238359,305751,67087,102343,92934,131478,248024,274931,11975,304118,290709,271169,219377
87,HARYANA,Mewat,15593,96309,935,10499,6220,33748,27367,111968,13269,106186,92492,36802,58016
88,HARYANA,Faridabad,258422,333171,43437,82673,63470,152884,279652,302937,9755,334623,313812,296399,211123
89,HARYANA,Palwal,46498,132606,4283,16736,10185,55825,93313,121222,9455,142348,112618,74531,95032
90,NCT OF DELHI,North West,625662,720900,114044,188876,152362,263624,631015,636303,24844,715763,633690,618297,578245
91,NCT OF DELHI,North,161067,174310,21418,40543,25574,63424,156786,160557,6011,172937,160265,158373,144005
92,NCT OF DELHI,North East,356769,391951,30390,69417,37482,152678,349535,357017,7975,391476,372599,375856,322815
93,NCT OF DELHI,East,327253,352758,80037,127465,87499,162670,320151,329844,6817,350135,333378,331089,333999
94,NCT OF DELHI,New Delhi,26681,30023,7366,11948,7248,10268,26397,27920,1121,29538,27047,23658,28951
95,NCT OF DELHI,Central,101826,113399,19724,30627,21001,39119,102933,104185,3695,112606,104791,104040,110084
96,NCT OF DELHI,West,475985,520282,109666,171002,134587,218843,468163,476978,14856,514528,474955,471008,455131
97,NCT OF DELHI,South West,423855,457784,94853,156635,105425,183150,402661,425929,12143,454597,432180,421100,350289
98,NCT OF DELHI,South,504898,549402,111453,176435,121101,204607,481782,513042,15995,542907,503279,487320,393274
99,RAJASTHAN,Ganganagar,88543,283142,6295,24901,21515,85320,181616,284669,10212,317953,332389,316783,274355
100,RAJASTHAN,Hanumangarh,55515,243163,3360,16217,16537,56973,140280,249474,8365,294975,278085,278373,246593
101,RAJASTHAN,Bikaner,108812,220793,7607,29531,17113,68379,138480,287946,14160,345409,301031,195188,224200
102,RAJASTHAN,Churu,74197,231696,2577,15259,9938,27698,131174,268431,16925,311578,268120,200805,268551
103,RAJASTHAN,Jhunjhunun,131987,297559,4828,24178,15861,59920,189511,314807,8656,336430,297078,205571,231401
104,RAJASTHAN,Alwar,123478,485723,9750,45770,30207,179435,258862,477446,20145,514708,330836,172919,189088
105,RAJASTHAN,Bharatpur,61113,288723,4179,26106,10349,99846,160190,303255,18001,353111,198184,85903,101103
106,RAJASTHAN,Dhaulpur,24561,96086,1330,9504,3614,31120,51423,117770,12024,178426,77503,33172,35615
107,RAJASTHAN,Karauli,28296,132079,1059,13045,3820,35486,49752,166652,13804,178407,69366,41754,54328
108,RAJASTHAN,Sawai Madhopur,40116,140947,1887,14310,4398,41953,61935,171024,10366,198019,81379,52475,54946
109,RAJASTHAN,Dausa,35600,195277,1719,14539,6664,62106,82113,202591,14177,192676,85330,50480,54241
110,RAJASTHAN,Jaipur,570997,990085,76565,182350,142866,523398,764302,974168,28725,993436,816767,694107,661375
111,RAJASTHAN,Sikar,131342,339457,5647,28382,22494,77340,218772,384989,11294,374975,328313,222955,248633
112,RAJASTHAN,Nagaur,97267,347344,4449,35328,26150,94315,184518,465022,32964,506680,393528,209311,237329
113,RAJASTHAN,Jodhpur,197135,408808,19335,54808,40768,197296,246002,491165,25246,588447,481462,248676,305339
114,RAJASTHAN,Jaisalmer,12431,43141,754,7416,5218,11355,19388,81102,3396,106416,79428,26456,27456
115,RAJASTHAN,Barmer,39580,126494,2766,37730,27009,39804,52926,299183,22802,384807,234694,66597,95785
116,RAJASTHAN,Jalor,39745,161845,1585,12794,12367,34799,54245,237522,26360,230923,145214,51153,136516
117,RAJASTHAN,Sirohi,47182,134089,2146,10297,6343,38817,65197,125006,11967,168576,91080,54218,81766
118,RAJASTHAN,Pali,94821,326793,4043,19270,14175,109098,154761,316935,20656,371789,274998,124303,197827
119,RAJASTHAN,Ajmer,171799,393498,13499,41732,24509,175460,250461,363250,12075,400166,305048,204571,247504
120,RAJASTHAN,Tonk,32359,158264,1908,12482,6295,68174,83447,189703,5457,233360,92778,49974,58786
121,RAJASTHAN,Bundi,33406,136969,1392,7705,5787,58255,78692,143433,6801,181934,77636,42082,51021
122,RAJASTHAN,Bhilwara,93768,373644,6207,24014,17508,150972,175393,341043,15482,427165,231845,115740,183367
123,RAJASTHAN,Rajsamand,36073,193276,1989,9222,7060,62714,80267,168164,9161,207998,105451,49135,86777
124,RAJASTHAN,Dungarpur,26351,141275,1477,11742,4385,34909,46510,115373,16802,271018,62463,38043,44442
125,RAJASTHAN,Banswara,34189,120603,2324,15062,5287,45930,48693,108760,31554,347302,72390,45574,38137
126,RAJASTHAN,Chittaurgarh,59190,268172,4941,16560,11261,103489,119801,223599,10716,284116,138788,67820,136583
127,RAJASTHAN,Kota,165563,339899,12843,36297,24848,147206,236764,283909,8541,348345,265337,195286,225351
128,RAJASTHAN,Baran,32685,161310,1363,9491,5741,59954,88344,150412,6858,219215,92962,42258,57191
129,RAJASTHAN,Jhalawar,38909,220428,1750,9403,5385,56052,96225,167020,11136,265667,110586,46984,75401
130,RAJASTHAN,Udaipur,128320,357846,14211,48517,27979,157259,180282,330546,20156,559408,223077,150738,150942
131,RAJASTHAN,Pratapgarh,17984,71612,716,5961,2803,31782,37216,78345,4259,169441,42404,20284,23928
132,UTTAR PRADESH,Saharanpur,149035,404499,9699,38816,21310,151620,294410,419470,28835,472744,468873,343084,190539
133,UTTAR PRADESH,Muzaffarnagar,147785,368153,10077,56149,32866,145278,331760,512592,28573,579578,553728,449383,203329
134,UTTAR PRADESH,Bijnor,128042,268353,7303,37341,17143,131278,260312,445114,31357,474925,470279,380737,226734
135,UTTAR PRADESH,Moradabad,179473,281758,11690,61846,19316,148802,283005,504670,39689,700569,532409,496107,266687
136,UTTAR PRADESH,Rampur,62281,131112,3847,25960,14386,73261,134249,253787,21958,339126,254563,260618,145801
137,UTTAR PRADESH,Jyotiba Phule Nagar,55064,89329,2825,18303,7361,63056,101804,206663,16858,253796,205042,166582,97536
138,UTTAR PRADESH,Meerut,236071,425624,23717,69473,42392,186553,354359,440962,17236,527894,497784,421643,248730
139,UTTAR PRADESH,Baghpat,44732,119121,2989,19999,13301,42998,111663,155781,6642,178240,171586,134051,51339
140,UTTAR PRADESH,Ghaziabad,501592,695130,78116,179552,119441,292502,592753,700485,19054,785452,750601,701900,347916
141,UTTAR PRADESH,Gautam Buddha Nagar,193902,257586,53181,87188,78631,124939,232925,278982,5200,297930,276925,245877,171326
142,UTTAR PRADESH,Bulandshahr,124641,223922,7865,38225,20979,136765,254050,410624,22726,549012,393105,257848,152581
143,UTTAR PRADESH,Aligarh,153283,268120,13634,58336,21667,151973,262098,445913,22752,572425,356823,254141,168309
144,UTTAR PRADESH,Mahamaya Nagar,48911,134579,3087,18621,6691,61172,121618,187223,10398,240523,147527,73875,54051
145,UTTAR PRADESH,Mathura,107867,281239,8726,37596,16580,124260,221574,318989,14386,378353,240390,154472,119348
146,UTTAR PRADESH,Agra,251013,536402,27183,82012,44989,243761,433913,520896,21602,630150,463682,311695,224180
147,UTTAR PRADESH,Firozabad,100919,196080,5834,31797,10940,85413,169583,283190,23727,381745,237006,146593,102602
148,UTTAR PRADESH,Mainpuri,43074,79022,2642,24451,7361,53444,76780,209597,21800,288281,158322,72089,63151
149,UTTAR PRADESH,Budaun,62863,110177,3634,30423,9654,69930,130433,354565,47333,580347,262671,190341,123199
150,UTTAR PRADESH,Bareilly,210687,272830,15164,56575,24436,159838,300504,481724,47378,696829,428849,462993,323722
151,UTTAR PRADESH,Pilibhit,47723,83006,2870,18097,7560,55738,106945,205860,32806,330245,169387,162404,98099
152,UTTAR PRADESH,Shahjahanpur,91958,115163,3889,27533,9927,73581,135885,288372,58272,496446,243864,198260,148086
153,UTTAR PRADESH,Kheri,86948,122761,3402,29252,11395,94806,141512,359457,77139,672234,277898,176324,202411
154,UTTAR PRADESH,Sitapur,74072,102040,3874,34609,11679,88916,123246,369436,93364,767387,371343,145037,230288
155,UTTAR PRADESH,Hardoi,60689,95508,3845,32065,12396,82094,132969,387803,57352,686741,341739,173556,137163
156,UTTAR PRADESH,Unnao,70484,99466,3476,28719,10191,79130,134235,306178,39416,544317,362568,141351,68748
157,UTTAR PRADESH,Lucknow,469747,582769,68506,152257,90205,337254,506413,607420,45231,796009,654614,539863,427563
158,UTTAR PRADESH,Rae Bareli,65080,247856,5184,34788,13483,94437,130197,363829,46600,568968,297883,112567,125452
159,UTTAR PRADESH,Farrukhabad,59209,88081,2624,18733,6765,49592,87314,198066,23921,289395,182879,113500,49109
160,UTTAR PRADESH,Kannauj,32510,61491,2488,18082,6011,37935,64187,174734,23163,259962,157415,85404,47225
161,UTTAR PRADESH,Etawah,47520,113098,2964,21506,7736,47713,84543,177997,19235,262941,166012,93434,58927
162,UTTAR PRADESH,Auraiya,32687,65479,2404,14279,5088,35729,60174,152099,20393,237062,150177,72893,46112
163,UTTAR PRADESH,Kanpur Dehat,23831,49753,2682,25354,12752,40159,65556,184973,26754,309804,197245,89107,53449
164,UTTAR PRADESH,Kanpur Nagar,421694,517271,33966,93296,51177,249207,469346,571582,45681,794999,647223,520077,271007
165,UTTAR PRADESH,Jalaun,42616,104176,2217,18615,7009,58169,90428,199931,8834,276045,206627,114634,52267
166,UTTAR PRADESH,Jhansi,94342,183340,8517,40774,18860,94539,163900,270128,6923,334347,238492,147302,93390
167,UTTAR PRADESH,Lalitpur,20720,77082,1079,9906,5511,36718,53524,126482,5851,201091,84273,42178,20604
168,UTTAR PRADESH,Hamirpur,20175,55929,1196,11037,3791,24522,48564,137792,3213,201284,120259,68771,40314
169,UTTAR PRADESH,Mahoba,12874,42936,1316,11298,5755,21276,35422,113025,2711,154755,70567,41692,18115
170,UTTAR PRADESH,Banda,26907,73522,1655,18612,5202,32236,52233,174698,3856,311630,133063,90787,51777
171,UTTAR PRADESH,Chitrakoot,11637,41046,827,9437,2805,17911,27006,84775,3131,161060,44786,27623,23226
172,UTTAR PRADESH,Fatehpur,43492,75263,3385,33501,16758,59754,97968,271445,26111,438006,211608,117023,65256
173,UTTAR PRADESH,Pratapgarh,46358,140538,5149,34400,15781,104506,135185,397265,32731,463068,186336,74799,113727
174,UTTAR PRADESH,Kaushambi,22034,43753,1503,15029,4403,35502,52946,154650,12183,264959,92723,46197,26654
175,UTTAR PRADESH,Allahabad,204357,391542,24122,85491,41965,243219,355913,616743,37550,787263,373803,278760,252326
176,UTTAR PRADESH,Bara Banki,60554,108116,3159,26293,11935,91664,116157,306578,65953,533207,305263,103904,110385
177,UTTAR PRADESH,Faizabad,58328,127754,4746,28625,15426,74081,99531,276720,36334,392003,238464,94981,90607
178,UTTAR PRADESH,Ambedkar Nagar,21512,99581,2509,27308,9813,60203,61470,255512,35991,332700,146958,67875,97529
179,UTTAR PRADESH,Sultanpur,55055,233701,5956,44008,18382,104307,135697,440274,52533,564210,278962,101900,154994
180,UTTAR PRADESH,Bahraich,38940,85814,2681,35463,13451,51784,71676,270422,49799,561188,223076,93687,187350
181,UTTAR PRADESH,Shrawasti,4828,20419,624,10074,2286,16069,15978,92836,12916,173524,73503,22439,74873
182,UTTAR PRADESH,Balrampur,16229,57400,1551,15510,6167,37816,34497,194750,20770,298119,141528,48201,85828
183,UTTAR PRADESH,Gonda,45517,104084,4313,31811,13053,75067,78099,346478,58242,465245,248745,66742,188037
184,UTTAR PRADESH,Siddharthnagar,25883,93088,2434,24662,9664,52801,56722,274281,24641,328991,148764,47813,158749
185,UTTAR PRADESH,Basti,37593,108101,3423,30244,11477,66316,76856,278758,37182,330864,172901,62328,125645
186,UTTAR PRADESH,Sant Kabir Nagar,17671,79525,2031,19729,6778,37986,49191,195440,25595,231166,123330,38686,91688
187,UTTAR PRADESH,Mahrajganj,23647,91844,2694,27339,9050,52155,84591,292220,36547,354808,190169,79375,196296
188,UTTAR PRADESH,Gorakhpur,149727,296619,14597,65360,30258,157765,255280,544038,54998,601098,390206,213529,238404
189,UTTAR PRADESH,Kushinagar,29304,127331,3486,35931,12849,70192,103014,404094,47546,473720,266463,95139,171798
190,UTTAR PRADESH,Deoria,60348,150001,4469,36068,13388,84941,122308,379700,39422,411210,257442,100060,109265
191,UTTAR PRADESH,Azamgarh,49699,183381,6652,47324,20757,116175,159910,500400,57414,592546,299061,135150,102270
192,UTTAR PRADESH,Mau,40087,149908,2656,26716,7411,47576,82073,232564,30271,297148,160149,87874,42095
193,UTTAR PRADESH,Ballia,62157,119972,4672,42969,10846,65467,115533,342823,60023,445832,217983,124786,75078
194,UTTAR PRADESH,Jaunpur,56508,181467,8002,52398,22876,128471,211780,515736,46432,513794,239695,131852,135340
195,UTTAR PRADESH,Ghazipur,36798,105767,5309,50180,21169,78218,139187,375976,53403,465637,216165,116171,58602
196,UTTAR PRADESH,Chandauli,32433,99602,3492,20762,7313,49064,109887,190317,19321,265718,129320,74557,38260
197,UTTAR PRADESH,Varanasi,202055,336056,19214,57583,24216,157861,309911,398076,28680,456434,301753,295357,187518
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),23178,83220,2896,16198,6910,38919,72638,149061,13452,171235,68092,41397,31323
199,UTTAR PRADESH,Mirzapur,43500,145997,4447,24518,10205,63155,136132,237437,17924,346953,131018,102361,44170
200,UTTAR PRADESH,Sonbhadra,40467,95582,5149,25220,10279,50700,80712,165535,7672,312438,90701,78826,47641
201,UTTAR PRADESH,Etah,37027,69591,2635,19712,6644,54798,79090,200961,18500,260846,141689,57574,66179
202,UTTAR PRADESH,Kanshiram Nagar,26849,50405,1623,13109,3854,30712,53987,149712,18880,219883,108916,56717,64018
203,BIHAR,Pashchim Champaran,38414,57546,3495,41143,10911,48435,69056,371137,36635,647438,270894,112382,19577
204,BIHAR,Purba Champaran,52358,74979,7719,70258,19282,78531,96546,585210,55372,898000,391064,179522,20310
205,BIHAR,Sheohar,3983,10004,478,6698,1410,7678,11722,83296,5295,135021,52118,30398,2091
206,BIHAR,Sitamarhi,39465,66263,3460,42461,7292,38576,61089,340890,45624,642364,217626,152392,10992
207,BIHAR,Madhubani,47090,113281,5319,65548,11636,59254,73851,486531,43081,704604,235903,166993,19775
208,BIHAR,Supaul,12111,51028,1845,25078,4064,21885,26559,207212,22190,258497,152501,47753,5373
209,BIHAR,Araria,17004,43290,2561,29796,5041,31983,40387,240730,21557,295636,225043,52549,8056
210,BIHAR,Kishanganj,11715,58718,1093,14073,2436,19539,28736,130592,13210,111597,108435,34858,4264
211,BIHAR,Purnia,33688,86058,4170,33664,8390,40178,63200,258284,35470,246639,234013,87774,12331
212,BIHAR,Katihar,32570,60900,2941,27263,5118,35004,60110,239686,31743,333662,200849,108018,13810
213,BIHAR,Madhepura,12302,23236,1397,23309,4560,21254,23209,182773,25170,206218,139028,52388,6388
214,BIHAR,Saharsa,21651,41342,1668,19415,3824,20489,30518,166317,24592,231080,113421,61597,6629
